x,y,z,yaw,pitch,roll
-0.99,1.16,0.3,0,180,0
-0.76,1.16,0.3,0,180,0
-0.75,1.16,0.3,0,180,0
-0.74,1.16,0.3,0,180,0
-0.73,1.16,0.3,0,180,0
-0.72,1.16,0.3,0,180,0
-0.7,1.16,0.3,0,180,0
-0.69,1.16,0.3,0,180,0
-0.68,1.16,0.3,0,180,0
-0.67,1.16,0.3,0,180,0
-0.66,1.16,0.3,0,180,0
-0.63,1.16,0.3,0,180,0
-0.61,1.16,0.3,0,180,0
-0.6,1.16,0.3,0,180,0
-0.59,1.16,0.3,0,180,0
-0.58,1.16,0.3,0,180,0
-0.57,1.16,0.3,0,180,0
-0.56,1.16,0.3,0,180,0
-0.55,1.16,0.3,0,180,0
-0.54,1.16,0.3,0,180,0
-0.52,1.16,0.3,0,180,0
-0.51,1.16,0.3,0,180,0
