x,y,z,yaw,pitch,roll
0.739999,1.12,0.3,0,180,0
-0.92,1.13,0.3,0,180,0
-0.89,1.13,0.3,0,180,0
-0.81,1.14,0.3,0,180,0
-0.8,1.14,0.3,0,180,0
-0.78,1.14,0.3,0,180,0
-0.77,1.14,0.3,0,180,0
0.669999,1.14,0.3,0,180,0
-0.95,1.15,0.3,0,180,0
-0.92,1.15,0.3,0,180,0
-0.91,1.15,0.3,0,180,0
-0.9,1.15,0.3,0,180,0
-0.89,1.15,0.3,0,180,0
-0.88,1.15,0.3,0,180,0
-0.87,1.15,0.3,0,180,0
-0.86,1.15,0.3,0,180,0
-0.85,1.15,0.3,0,180,0
-0.83,1.15,0.3,0,180,0
-0.82,1.15,0.3,0,180,0
-0.81,1.15,0.3,0,180,0
-0.79,1.15,0.3,0,180,0
-0.78,1.15,0.3,0,180,0
-0.77,1.15,0.3,0,180,0
-0.76,1.15,0.3,0,180,0
-0.75,1.15,0.3,0,180,0
-0.72,1.15,0.3,0,180,0
-0.71,1.15,0.3,0,180,0
-0.52,1.15,0.3,0,180,0
-0.51,1.15,0.3,0,180,0
-0.5,1.15,0.3,0,180,0
-0.49,1.15,0.3,0,180,0
0.529999,1.16,0.3,0,180,0
0.759999,1.17,0.3,0,180,0
0.769999,1.18,0.3,0,180,0
-0.7,1.2,0.3,0,180,0
0.379999,1.21,0.3,0,180,0
0.229999,1.22,0.3,0,180,0
0.389999,1.22,0.3,0,180,0
0.399999,1.22,0.3,0,180,0
0.789999,1.23,0.3,0,180,0
